Quantity,Scale,Ingredient,Ingredient_cpl,Number,Unit,ID
1,sachet,sucre vanillé,,6,personnes,36386
3,,oeufs,,6,personnes,36386
300,g,spéculoos,,6,personnes,36386
2,tasses,café,noir assez fort,6,personnes,36386
1,,cuillère à soupe d'amaretto,,6,personnes,36386
30,g,cacao,en poudre non sucré,6,personnes,36386
140,g,sucre en poudre,,6,personnes,31214
1,,cuillère à soupe d'Alcool,de fraise,6,personnes,31214
6,feuilles,gélatine,,6,personnes,31214
500,g,fraises,,6,personnes,31214
1,,citron,,6,personnes,31214
40,cl,crème liquide,,6,personnes,31214
1,sachet,sucre vanillé,,6,personnes,31214
26,,biscuits à la cuillère,,6,personnes,31214
,,Glaçons,,6,personnes,31214
800,g,pomme,,4,personnes,82104
2,gousses,vanille,,4,personnes,82104
10,,cl d'eau,,4,personnes,82104
150,g,sucre,,4,personnes,82104
50,g,poudre d'amandes,,6,pièces,13690
50,g,farine,fluide,6,pièces,13690
150,g,sucre,,6,pièces,13690
75,g,beurre,,6,pièces,13690
4,,blancs d'oeuf,,6,pièces,13690
1/2,cuillère à café d'extrait,vanille,,6,pièces,13690
1,petite pincée,sel,,6,pièces,13690
6,,jaunes d'oeuf,,8,personnes,11491
40,cl,crème liquide,,8,personnes,11491
25,cl,lait,,8,personnes,11491
200,g,sucre,,8,personnes,11491
100,g,sucre,,2,personnes,55883
2,,cuillères à soupe d'eau,,2,personnes,55883
25,cl,crème fraîche épaisse,,4,personnes,17983
1,cuillère à soupe,sucre,,4,personnes,17983
1,cuillère à soupe,beurre,,4,personnes,17983
200,g,chocolat,,4,personnes,17983
5,,oeufs,,6,personnes,11593
125,g,sucre,,6,personnes,11593
30,g,farine,,6,personnes,11593
70,g,maïzena,,6,personnes,11593
1/2,sachet,levure,,6,personnes,11593
1,pincée,sel,,6,personnes,11593
35,cl,lait,,6,personnes,11593
4,,jaunes d'oeuf,,6,personnes,11593
27,g,maïzena,,6,personnes,11593
50,g,sucre,,6,personnes,11593
150,g,beurre,,6,personnes,11593
500,g,fraises,,6,personnes,11593
12,fraises,s bois,(pour la décoration),6,personnes,11593
,,Framboises,(pour la décoration),6,personnes,11593
200,g,pâte d'amande,rose,6,personnes,11593
,feuille,pâte d'amande,verte,6,personnes,11593
10,cl,sirop de sucre de canne,,6,personnes,11593
4,cuillères à soupe,kirsch,,6,personnes,11593
,,Sucre glace,,6,personnes,11593
25,,cl d'eau,,45,churros,24177
60,g,beurre,,45,churros,24177
1,pincée,sel,,45,churros,24177
60,g,sucre en poudre,,45,churros,24177
225,g,farine,,45,churros,24177
2,,oeufs,,45,churros,24177
,Huile,pépin de raisin,pour la friture,45,churros,24177
200,g,farine,,6,personnes,15641
100,g,beurre,,6,personnes,15641
1,,oeuf,,6,personnes,15641
40,g,sucre,,6,personnes,15641
1,pincée,sel,,6,personnes,15641
200,g,chocolat noir,,6,personnes,15641
20,cl,crème fraîche liquide,,6,personnes,15641
8,cl,lait,,6,personnes,15641
1,,oeuf,,6,personnes,15641
3,,oeufs,,6,personnes,26543
,,Beurre,,6,personnes,26543
,,Sucre,,6,personnes,26543
,,Farine,,6,personnes,26543
,,Sel,,6,personnes,26543
,Extrait,vanille,,6,personnes,26543
,zeste,jus de citron,...,6,personnes,26543
250,g,farine,fine,6,personnes,13202
150,g,sucre,,6,personnes,13202
1,paquet,sucre vanillé,,6,personnes,13202
4,,oeufs,,6,personnes,13202
1,l,lait,,6,personnes,13202
100,g,pruneau,dénoyautés (qu'on aura fait tremper dans de l'eau avec un peu de rhum),6,personnes,13202
1,petit verre,rhum,,6,personnes,13202
12.5,cl,lait,et eau,6,personnes,19927
55,g,beurre,,6,personnes,19927
10,g,sucre en poudre,,6,personnes,19927
50,g,farine,,6,personnes,19927
2,,oeufs,,6,personnes,19927
20,g,maïzena,,6,personnes,19927
20,g d'aman,s,effilées,6,personnes,19927
,,Sel,,6,personnes,19927
,,Sucre glace,,6,personnes,19927
25,cl,lait,,6,personnes,19927
3,,jaunes d'oeuf,,6,personnes,19927
125,g,beurre,ramolli,6,personnes,19927
20,g,maïzena,,6,personnes,19927
60,g,sucre,,6,personnes,19927
115,g,pralin,en poudre,6,personnes,19927
120,g,farine,avec levure incorporée (ou ajoutez 1/2 sachet de levure chimique),6,pièces,56020
60,g,sucre en poudre,,6,pièces,56020
4,cuillères à soupe,lait,écremé,6,pièces,56020
1,,oeuf,entier + un blanc d'oeuf,6,pièces,56020
50,g,beurre,,6,pièces,56020
60,g,chocolat,pour la pâte,6,pièces,56020
100,g,chocolat,pour les pépites,6,pièces,56020
125,g,farine,,12,choux,21951
20,,cl d'eau,,12,choux,21951
75,g,beurre,,12,choux,21951
3,,oeufs,,12,choux,21951
1,pincée,sel,,12,choux,21951
1,cuillère à soupe,sucre,pour les recettes sucrées,12,choux,21951
1/4,,l d'eau,,40,petits choux,13761
1/2,cuillère à café,sel,,40,petits choux,13761
1,cuillère à soupe,sucre en poudre,,40,petits choux,13761
80,g,beurre,,40,petits choux,13761
125,g,farine,,40,petits choux,13761
4,,oeufs,(le volume des œufs doit être égal au volume d'eau),40,petits choux,13761
,,Sucre en grain,,40,petits choux,13761
500,g,fraises,,4,personnes,14039
,,mi de citron,jaune,4,personnes,14039
4,,oeufs,,4,personnes,14039
250,g,mascarpone,,4,personnes,14039
180,g,sucre,,4,personnes,14039
12,,biscuits à la cuillère,,4,personnes,14039
125,g,beurre tendre,,6,personnes,85455
125,g,sucre,,6,personnes,85455
125,g,poudre d'amandes,,6,personnes,85455
2,,oeufs,entiers,6,personnes,85455
1,cuillère à café d'essence d'aman,amère,,6,personnes,85455
250,g,farine de blé,,8,personnes,66915
200,g,beurre demi-sel,,8,personnes,66915
200,g,sucre en poudre,,8,personnes,66915
10,g,levure,fraîche de boulanger,8,personnes,66915
2,pincées,sel,,8,personnes,66915
10,,cl d'eau,,8,personnes,66915
1,,pâte brisée,toute prête,6,personnes,14195
1,boîte,poire,au sirop,6,personnes,14195
100,g,beurre,,6,personnes,14195
100,g,sucre,,6,personnes,14195
2,,oeufs,,6,personnes,14195
100,g d'aman,s,en poudre,6,personnes,14195
25,g,farine,,6,personnes,14195
10,cl d'alcool,poire,ou autre,6,personnes,14195
4,,oeufs,,4,personnes,22034
60,cl,lait,,4,personnes,22034
1,gousse,vanille,,4,personnes,22034
30,g d'aman,s,effilées,4,personnes,22034
110,g,sucre en poudre,,4,personnes,22034
60,g,sucre en morceaux,,4,personnes,22034
1/2,,citron,,4,personnes,22034
1,pincée,sel,,4,personnes,22034
4,,bananes,,8,personnes,72039
1,,ananas,,8,personnes,72039
1,,mangue,bien mûre,8,personnes,72039
1,barquette,fraises,(sauf en hiver),8,personnes,72039
4,,kiwis,,8,personnes,72039
2,,oranges,,8,personnes,72039
3,,pommes,golden,8,personnes,72039
1,bâton,cannelle,(facultatif),8,personnes,72039
1,bâton,vanille,(facultatif),8,personnes,72039
15,cl,sirop,de fraise ou de grenadine,8,personnes,72039
100,g,sucre en poudre,,8,personnes,72039
1,,l d'eau,,8,personnes,72039
500,,g d'ananas,"en tranches, en boîte",8,personnes,16263
4,,oeufs,,8,personnes,16263
250,g,sucre en poudre,,8,personnes,16263
150,g,beurre,,8,personnes,16263
250,g,farine,,8,personnes,16263
3,cl,rhum,,8,personnes,16263
1,,citron,,8,personnes,16263
1,sachet,levure,,8,personnes,16263
125,g,sucre,,8,personnes,16263
4,,cuillères à soupe d'eau,,8,personnes,16263
1,,pâte feuilletée,,6,personnes,12548
1,cuillère à café,maïzena,,6,personnes,12548
700,,g d'abricot,,6,personnes,12548
2,,jaunes d'oeuf,,6,personnes,12548
100,g,sucre,,6,personnes,12548
100,g,crème fraîche,,6,personnes,12548
1,cuillère à soupe,semoule,,6,personnes,12548
1,cuillère à soupe,lait,,6,personnes,12548
1,,oeuf,,6,personnes,35497
200,g,farine,,6,personnes,35497
100,g,sucre en poudre,,6,personnes,35497
100,g,beurre,,6,personnes,35497
1,pincée,sel,,6,personnes,35497
1,kg,pomme,,6,personnes,35497
2,,oeufs,,6,personnes,35497
100,g,sucre en poudre,,6,personnes,35497
100,g d'aman,s,en poudre,6,personnes,35497
100,g,crème fraîche épaisse,(de la vraie quoi !),6,personnes,35497
1/2,verre,liqueur,de calvados,6,personnes,35497
,Aman,s,effilées,6,personnes,35497
200,g,farine,,6,personnes,22715
100,g,beurre,,6,personnes,22715
1,,jaune d'oeuf,,6,personnes,22715
5,,cl d'eau,,6,personnes,22715
1,pincée,sel,,6,personnes,22715
800,g,rhubarbe,,6,personnes,22715
150,g,sucre en poudre,,6,personnes,22715
2,,oeufs,,6,personnes,22715
125,g,crème fraîche,,6,personnes,22715
500,g,farine,,6,personnes,41480
2,cuillères à café,levure chimique,,6,personnes,41480
1/2,cuillère à café,sel,,6,personnes,41480
1/2,cuillère à café,cannelle,(facultatif),6,personnes,41480
1/4,cuillère à café,muscade,(facultatif),6,personnes,41480
2,,oeufs,battus,6,personnes,41480
175,g,sucre en poudre,,6,personnes,41480
1,cuillère à café,vanille,liquide,6,personnes,41480
15,cl,lait,,6,personnes,41480
1,cuillère à soupe,beurre,fondu,6,personnes,41480
2,,oeufs,,10,personnes,61919
60,g,sucre en poudre,,10,personnes,61919
40,g,poudre d'amandes,(ou poudre de noisette),10,personnes,61919
2,cuillères à soupe,farine,rase,10,personnes,61919
30,g,beurre,fondu,10,personnes,61919
1,cuillère à café,levure chimique,,10,personnes,61919
150,g,pralinoise,,10,personnes,61919
70,g,crêpe dentelle,,10,personnes,61919
30,g,pralin,,10,personnes,61919
2,cuillères à soupe,lait,,10,personnes,61919
250,g,crème liquide,(à 30% de matière grasse),10,personnes,61919
150,g,chocolat noir,,10,personnes,61919
5,cuillères à soupe,lait,,1,gâteau,329743
5,cuillères à soupe,cacao,,1,gâteau,329743
3,cuillères à soupe,sucre,,1,gâteau,329743
1,cuillère à soupe,farine,,1,gâteau,329743
1,,oeuf,(calibre A),50,sablés,31237
120,g,sucre,,50,sablés,31237
1,sachet,sucre vanillé,,50,sablés,31237
250,g,farine,,50,sablés,31237
125,g,beurre,,50,sablés,31237
2,,pâtes feuilletées,,6,personnes,10832
100,g,poudre d'amandes,,6,personnes,10832
75,g,sucre semoule,,6,personnes,10832
1,,oeuf,,6,personnes,10832
50,g,beurre,mou,6,personnes,10832
,goutte d'extrait d'aman,amère,,6,personnes,10832
1,,jaune d'oeuf,pour dorer,6,personnes,10832
1,,fève,!,6,personnes,10832
250,g,farine,,6,personnes,12042
160,g,sucre,,6,personnes,12042
2,cuillères à café,levure chimique,,6,personnes,12042
1/2,cuillère à café,bicarbonate,,6,personnes,12042
1,bonne pincée,sel,,6,personnes,12042
2,,bananes,"moyennes mûres (plus elles sont mûres, mieux c'est)",6,personnes,12042
85,g,beurre,,6,personnes,12042
2,cuillères à soupe,lait,,6,personnes,12042
2,,oeufs,,6,personnes,12042
4,,oeufs,,8,personnes,11529
180,g,sucre,,8,personnes,11529
120,g,farine,,8,personnes,11529
1,sachet,levure,,8,personnes,11529
160,g,beurre,fondu,8,personnes,11529
100,g,chocolat,,8,personnes,11529
100,g,copeaux de chocolat,,8,personnes,11529
40,cl,crème fraîche,entière,8,personnes,11529
,,Cerises,confites maisons ou cerises à l’eau de vie,8,personnes,11529
150,g,pain,rassis (environ),6,personnes,31801
3,,oeufs,,6,personnes,31801
50,cl,lait,,6,personnes,31801
1,sachet,sucre vanillé,,6,personnes,31801
,,Cannelle,en poudre,6,personnes,31801
,Cassona,,"(vergeoise) (ou confiture au choix, ou les deux)",6,personnes,31801
2,cuillères à soupe,raisins secs,(ou morceaux de fruits),6,personnes,31801
,,Confiture,,6,personnes,31801
50,g,beurre,,4,personnes,233165
125,g,cassonade,,4,personnes,233165
1,,oeuf,,4,personnes,233165
50,g,farine,,4,personnes,233165
1,sachet,levure,,4,personnes,233165
175,g,flocons d'avoine,,4,personnes,233165
75,g,chocolat noir,,4,personnes,233165
1,pincée,sel,,4,personnes,233165
250,g,beurre,,45,cookies,57330
300,g,chocolat,,45,cookies,57330
2,,oeufs,,45,cookies,57330
350,g,farine,,45,cookies,57330
125,g,sucre semoule,,45,cookies,57330
125,g,sucre brun,,45,cookies,57330
1,cuillère à café,levure,en poudre,45,cookies,57330
,,Sel,,45,cookies,57330
500,g,farine de blé,t55,12,pains au chocolat,29672
500,g,farine,de gruau t45,12,pains au chocolat,29672
500,g,beurre,,12,pains au chocolat,29672
600,,ml d'eau,,12,pains au chocolat,29672
100,g,sucre,,12,pains au chocolat,29672
20,g,sel,,12,pains au chocolat,29672
30,g,levure,,12,pains au chocolat,29672
100,g,chocolat,,12,pains au chocolat,29672
1,,oeuf,(facultatif),12,pains au chocolat,29672
1,,pâte sablée,,6,personnes,14023
80,g,chocolat noir,,6,personnes,14023
2,cuillères à soupe,lait,,6,personnes,14023
3,,oeufs,,6,personnes,14023
6,cuillères à soupe,crème fraîche,,6,personnes,14023
70,g,sucre,,6,personnes,14023
1,grosse boîte,poire,,6,personnes,14023
11,,jaunes d'oeuf,,24,petits moules individuels,12614
1,l,lait,,24,petits moules individuels,12614
500,g,sucre,,24,petits moules individuels,12614
125,g,farine,,24,petits moules individuels,12614
1,zeste,citron,ou vanille,24,petits moules individuels,12614
1,pincée,sel,,24,petits moules individuels,12614
,,Pâte feuilletée,,24,petits moules individuels,12614
4,,blancs d'oeuf,,8,personnes,69281
225,g,sucre en poudre,,8,personnes,69281
1,cuillère à café,maïzena,,8,personnes,69281
2,cuillères à café,vinaigre de vin,blanc,8,personnes,69281
45,cl,crème fleurette,,8,personnes,69281
50,g,sucre en poudre,,8,personnes,69281
1,sachet,sucre vanillé,,8,personnes,69281
1,sachet,crème chantilly,"""",8,personnes,69281
125,g,framboises,fraîches ou surgelées,8,personnes,69281
1,,kiwi,pelé et coupé en tranches,8,personnes,69281
2,,bananes,coupées en rondelles,8,personnes,69281
4,,moitiés d'abricot,en boîte coupées en tranches,8,personnes,69281
1/2,jus,citron,,8,personnes,69281
1,l,lait entier,,4,personnes,13286
6,,oeufs,,4,personnes,13286
6,cuillères à soupe,sucre,,4,personnes,13286
75,g,beurre,(à température ambiante),8,personnes,22614
250,g,sucre en poudre,,8,personnes,22614
3,,oeufs,,8,personnes,22614
300,g,farine,,8,personnes,22614
2,cuillères,levure chimique,,8,personnes,22614
1/2,cuillère à café,sel,,8,personnes,22614
1/2,cuillère à café,cannelle,en poudre,8,personnes,22614
15,cl,yaourt brassé,,8,personnes,22614
350,g,carotte,finement râpées,8,personnes,22614
100,g,noix,"(ou noisettes, amandes...) hachées",8,personnes,22614
25,g,beurre,(à température ambiante),8,personnes,22614
75,g,sucre glace,,8,personnes,22614
1/2,cuillère à café,cannelle,en poudre,8,personnes,22614
150,g,fromage,à la crème (Mascarpone...),8,personnes,22614
250,g,mascarpone,,4,personnes,320360
200,g,nutella,,4,personnes,320360
150,g,spéculoos,,4,personnes,320360
30,g,sucre en poudre,,4,personnes,320360
2,,oeufs,,4,personnes,320360
10,cl,lait,,4,personnes,320360
1,cuillère à soupe,vanille,liquide (ou un sachet de sucre vanillé),4,personnes,320360
2,cuillères à soupe,chocolat en poudre,(amer de préférence),4,personnes,320360
500,,g d'abricot,frais,6,personnes,20635
3,,oeufs,,6,personnes,20635
60,g,sucre,,6,personnes,20635
1,sachet,sucre vanillé,,6,personnes,20635
2,cuillères à soupe,farine,ou de maïzena,6,personnes,20635
25,cl,lait,,6,personnes,20635
1,pincée,sel,,6,personnes,20635
500,g,pâte feuilletée,,6,personnes,33004
1,,oeuf,,6,personnes,33004
1/4,l,lait,,6,personnes,33004
50,g,sucre,,6,personnes,33004
35,g,farine,,6,personnes,33004
1,sachet,sucre vanillé,,6,personnes,33004
,,Sucre glace,,6,personnes,33004
1,,chocolat,,6,personnes,33004
160,g,flocons d'avoine,,4,personnes,35407
1,l,lait,,4,personnes,35407
,,Sucre roux,à volonté,4,personnes,35407
24,,biscuits à la cuillère,,6,personnes,25091
250,g,chocolat pâtissier,à forte teneur en cacao,6,personnes,25091
20,cl,crème fraîche liquide,non allégée en matière grasse,6,personnes,25091
5,cl,lait,,6,personnes,25091
100,g,beurre,,6,personnes,25091
4,,oeufs,,6,personnes,25091
30,g,sucre glace,,6,personnes,25091
10,cl,rhum,,6,personnes,25091
110,g,beurre doux,,8,personnes,232228
110,g,golden syrup,"(ou de sirop d’érable, le goût de la tarte sera alors un peu plus prononcé)",8,personnes,232228
1,cuillère à café d'extrait,vanille,,8,personnes,232228
225,g,sucre roux,,8,personnes,232228
3,,oeufs,,8,personnes,232228
1,,pâte brisée,,8,personnes,232228
300,g,noix de pécan,,8,personnes,232228
2,cuillères à soupe,farine,,10,éclairs,46735
30,cl,lait,,10,éclairs,46735
50,g,beurre,,10,éclairs,46735
210,g,chocolat noir,,10,éclairs,46735
1,,oeuf,,10,éclairs,46735
3,cuillères à soupe,sucre,,10,éclairs,46735
2,,jaunes d'oeuf,,10,éclairs,46735
150,g,farine,,10,éclairs,46735
25,,cl d'eau,,10,éclairs,46735
75,g,beurre,,10,éclairs,46735
1,cuillère à soupe,sucre,,10,éclairs,46735
4,,oeufs,,10,éclairs,46735
1,pincée,sel,,10,éclairs,46735
1,,jaune d'oeuf,,10,éclairs,46735
,,Huile,,10,éclairs,46735
6,,oeufs,frais entiers,6,personnes,86967
1,l,lait,,6,personnes,86967
160,g,sucre,,6,personnes,86967
1,gousse,vanille,,6,personnes,86967
10,morceaux,sucre,,6,personnes,86967
50,cl,lait,,8,personnes,331564
4,,oeufs,,8,personnes,331564
150,g,sucre en poudre,,8,personnes,331564
1,sachet,sucre vanillé,,8,personnes,331564
